,run_136 CV,run_136 MRE,run_134 CV,run_134 MRE
mc_replicates,100,100,100,100
c0,yes,yes,yes,yes
loss,max_robust,max_robust,max_robust,max_robust
error%,10,10,10,10
n_samples,3000,3000,3000,3000
n_timepoints,20,20,20,20
kcincaf,62.75,6.21,25.21,1.69
kcafpar,32.2,1.54,17.56,3.01
kcafbro,35.66,4.03,17.65,3.81
kcafphy,35.77,2.83,17.85,3.73
kcafdeg,71.75,1.38,38.12,-8.55
kpardeg,41.37,-0.91,22.35,1.09
kbrodeg,53.14,2.95,27.11,3.18
kphydeg,52.87,1.45,26.8,2.94
par0,21.37,1.68,17.12,1.07
bro0,22.56,2.5,16.95,0.45
phy0,22.8,3.13,17.02,0.56
sv,99.76,-0.96,20.95,-2.45
caf conc.,19.5,-0.9,12.22,0.87
par conc.,17.22,0.5,14.03,2.51
bro conc.,17.01,1.34,14.12,2.51
phy conc.,17.02,1.33,14.15,2.4
total_avg,38.92,2.1,19.95,2.55
