run_nr,mc_replicates,cv_replicates,c0,nr_timepoints,loss,error%,table_number
run_104,100,300,yes,20,cauchy,10,s_tab_9
run_108,100,300,yes,20,huber,10,s_tab_9
run_109,100,300,yes,20,soft_l1,10,s_tab_9
run_110,100,300,yes,20,robust,10,s_tab_9
run_111,100,300,yes,20,max_cauchy,10,s_tab_9
run_112,100,300,yes,20,max_huber,10,s_tab_9
run_113,100,300,yes,20,max_soft_l1,10,s_tab_9
run_121,100,300,yes,20,max_robust,10,s_tab_9 s_tab_10 s_tab_12 s_tab_15 s_tab_16
run_123,10,300,yes,20,max_robust,10,s_tab_10
run_124,1000,300,yes,20,max_robust,10,s_tab_10
run_125,100,300,yes,19,max_robust,10,s_tab_12
run_126,100,300,yes,17,max_robust,10,s_tab_12
run_127,100,300,yes,15,max_robust,10,s_tab_12
run_128,100,300,yes,13,max_robust,10,s_tab_12
run_129,100,300,yes,11,max_robust,10,s_tab_12
run_130,100,300,yes,15\dagger,max_robust,10,s_tab_12
run_131,100,300,yes,20,max_robust,20,s_tab_15
run_133,100,300,yes,20,max_robust,1,s_tab_15
run_134,100,3000,yes,20,max_robust,10,s_tab_13
run_135,100,300,yes,20,max_robust,30,s_tab_15
run_136,100,300,yes,20,max_robust,10,s_tab_16
run_138,1,300,yes,20,max_robust,10,s_tab_10
run_139,100,3000,yes,E15,max_robust,10,s_tab_14
